"filename", "language", "Markdown", "HTML", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Kernel.js", "JavaScript", 0, 0, 2112, 0, 0, 167, 317, 2596
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\KernelApiDoc.md", "Markdown", 831, 0, 0, 0, 0, 0, 406, 1237
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\API\index.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\API\windows-api.js", "JavaScript", 0, 0, 37, 0, 0, 29, 12, 78
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Componentes\index.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\Installer.js", "JavaScript", 0, 0, 94, 0, 0, 14, 20, 128
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\ide-bridge.js", "JavaScript", 0, 0, 44, 0, 0, 1, 9, 54
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\index.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\indexador.js", "JavaScript", 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\ipc-bridge.js", "JavaScript", 0, 0, 86, 0, 0, 36, 17, 139
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\notificaciones.js", "JavaScript", 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\scheduler.js", "JavaScript", 0, 0, 95, 0, 0, 26, 14, 135
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\system-registry.js", "JavaScript", 0, 0, 279, 0, 0, 106, 33, 418
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\window-registry.js", "JavaScript", 0, 0, 47, 0, 0, 36, 12, 95
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\ServiciosPendientes.md", "Markdown", 113, 0, 0, 0, 0, 0, 10, 123
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\IDE.html", "HTML", 0, 1475, 0, 0, 0, 1, 132, 1608
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\config.html", "HTML", 0, 1551, 0, 0, 0, 15, 115, 1681
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\editor.html", "HTML", 0, 762, 0, 0, 0, 6, 71, 839
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\files.html", "HTML", 0, 1526, 0, 0, 0, 0, 161, 1687
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\index.json", "JSON", 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\lib\wos-client.js", "JavaScript", 0, 0, 58, 0, 0, 2, 9, 69
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\Archivos.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\Config.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\EditorTexto.svg", "XML", 0, 0, 0, 0, 26, 0, 3, 29
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\TaskManager.svg", "XML", 0, 0, 0, 0, 24, 2, 4, 30
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\task-manager.html", "HTML", 0, 1342, 0, 0, 0, 7, 121, 1470
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\terminal.html", "HTML", 0, 1260, 0, 0, 0, 0, 35, 1295
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\diag-apps.html", "HTML", 0, 61, 0, 0, 0, 0, 4, 65
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\diag-kernel.html", "HTML", 0, 68, 0, 0, 0, 0, 4, 72
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\index.html", "HTML", 0, 549, 0, 0, 0, 8, 77, 634
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\repairboot.html", "HTML", 0, 848, 0, 0, 0, 2, 85, 935
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\shell.html", "HTML", 0, 3510, 0, 0, 0, 2, 209, 3721
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\uefi.html", "HTML", 0, 398, 0, 0, 0, 0, 34, 432
"Total", "-", 944, 13350, 2931, 30, 61, 460, 1926, 19702
