"filename", "language", "HTML", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Kernel.js", "JavaScript", 0, 74, 0, 0, 6, 9, 89
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Componentes\index.json", "JSON", 0, 0, -3, 0, 0, 0, -3
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\import.js", "JavaScript", 0, 50, 0, 0, 10, 13, 73
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\index.json", "JSON", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\multimedia.js", "JavaScript", 0, 47, 0, 0, 1, 13, 61
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\IDE.html", "HTML", 28, 0, 0, 0, 0, 3, 31
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\Imports.html", "HTML", 219, 0, 0, 0, 0, 26, 245
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\Multimedia.html", "HTML", 306, 0, 0, 0, 0, 42, 348
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\config.html", "HTML", 358, 0, 0, 0, 0, 22, 380
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\editor.html", "HTML", -76, 0, 0, 0, -6, -9, -91
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\files.html", "HTML", 5, 0, 0, 0, 0, 0, 5
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\index.json", "JSON", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\ide.svg", "XML", 0, 0, 0, 23, 0, 0, 23
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\imports.svg", "XML", 0, 0, 0, 52, 0, 0, 52
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\multimedia.svg", "XML", 0, 0, 0, 36, 0, 0, 36
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\task-manager.html", "HTML", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\index.html", "HTML", 5, 0, 0, 0, 0, -1, 4
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\shell.html", "HTML", 995, 0, 0, 0, 0, 83, 1078
"Total", "-", 1839, 171, 1, 111, 11, 201, 2334
