"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Kernel.js", "JavaScript", 0, 0, 2186, 0, 0, 173, 326, 2685
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\KernelApiDoc.md", "Markdown", 0, 831, 0, 0, 0, 0, 406, 1237
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\API\index.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\API\windows-api.js", "JavaScript", 0, 0, 37, 0, 0, 29, 12, 78
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\Installer.js", "JavaScript", 0, 0, 94, 0, 0, 14, 21, 129
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\ide-bridge.js", "JavaScript", 0, 0, 44, 0, 0, 1, 9, 54
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\import.js", "JavaScript", 0, 0, 50, 0, 0, 10, 13, 73
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\index.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\indexador.js", "JavaScript", 0, 0, 44, 0, 0, 0, 6, 50
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\ipc-bridge.js", "JavaScript", 0, 0, 86, 0, 0, 36, 17, 139
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\multimedia.js", "JavaScript", 0, 0, 47, 0, 0, 1, 13, 61
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\notificaciones.js", "JavaScript", 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\scheduler.js", "JavaScript", 0, 0, 95, 0, 0, 26, 14, 135
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\system-registry.js", "JavaScript", 0, 0, 279, 0, 0, 106, 33, 418
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\Modulos\Servicios\window-registry.js", "JavaScript", 0, 0, 47, 0, 0, 36, 12, 95
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\ServiciosPendientes.md", "Markdown", 0, 113, 0, 0, 0, 0, 10, 123
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\IDE.html", "HTML", 1652, 0, 0, 0, 0, 1, 142, 1795
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\Imports.html", "HTML", 219, 0, 0, 0, 0, 0, 26, 245
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\Multimedia.html", "HTML", 306, 0, 0, 0, 0, 0, 42, 348
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\config.html", "HTML", 1909, 0, 0, 0, 0, 15, 137, 2061
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\editor.html", "HTML", 686, 0, 0, 0, 0, 0, 62, 748
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\files.html", "HTML", 1540, 0, 0, 0, 0, 0, 163, 1703
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\index.json", "JSON", 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\lib\wos-client.js", "JavaScript", 0, 0, 58, 0, 0, 2, 9, 69
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\Archivos.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\Config.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\EditorTexto.svg", "XML", 0, 0, 0, 0, 26, 0, 3, 29
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\TaskManager.svg", "XML", 0, 0, 0, 0, 24, 2, 4, 30
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\ide.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 23
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\imports.svg", "XML", 0, 0, 0, 0, 52, 0, 0, 52
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\public\multimedia.svg", "XML", 0, 0, 0, 0, 36, 0, 0, 36
"c:\Users\Glados Foxy\Desktop\Proyects\Hue-Bit-OS-NT Web\apps\task-manager.html", "HTML", 1341, 0, 0, 0, 0, 7, 121, 1469
